cnpj;sufixo;classe_avere;chave_original
50449829000144;;RF - Pós-fixado;50.449.829/0001-44
50687171000109;;RF - Pós-fixado;50.687.171/0001-09
50862124000154;;RF - Inflação;50.862.124/0001-54
51225288000133;;RF - Inflação;51.225.288/0001-33
51250345000134;;RF - Inflação;51.250.345/0001-34
51253495000100;;RF - Pós-fixado;51.253.495/0001-00
51488342000133;;RF - Pós-fixado;51.488.342/0001-33
51672063000125;;RF - Pós-fixado;51.672.063/0001-25
51710645000159;;RF - Pós-fixado;51.710.645/0001-59
51998694000139;;RF - Pós-fixado;51.998.694/0001-39
52239457000157;;RF - Pós-fixado;52.239.457/0001-57
52242738000169;;RF - Pós-fixado;52.242.738/0001-69
52248139000152;;RF - Inflação;52.248.139/0001-52
52342951000142;;RF - Pós-fixado;52.342.951/0001-42
53464565000196;;RF - Pós-fixado;53.464.565/0001-96
53561905000105;;RF - Pós-fixado;53.561.905/0001-05
53779703000126;unica;RF - Pós-fixado;53.779.703/0001-26_unica
54090484000136;;RF - Pós-fixado;54.090.484/0001-36
54237051000160;;RF - Inflação;54.237.051/0001-60
54344616000109;;RF - Inflação;54.344.616/0001-09
54383407000174;;RF - Inflação;54.383.407/0001-74
54426679000104;;RF - Pós-fixado;54.426.679/0001-04
55204781000128;;RF - Inflação;55.204.781/0001-28
55318040000178;unica;RF - Pós-fixado;55.318.040/0001-78_unica
55577828000107;;RF - Pós-fixado;55.577.828/0001-07
56944017000151;;RF - Pós-fixado;56.944.017/0001-51
57009826000139;;RF - Pós-fixado;57.009.826/0001-39
57032921000153;;RF - Pós-fixado;57.032.921/0001-53
57636187000131;;RF - Pós-fixado;57.636.187/0001-31
57745690000125;;RF - Pós-fixado;57.745.690/0001-25
58390457000130;;RF - Inflação;58.390.457/0001-30
58398452000153;;RF - Pós-fixado;58.398.452/0001-53
58516787000129;;RF - Pós-fixado;58.516.787/0001-29
58755276000160;;RF - Pós-fixado;58.755.276/0001-60
58893662000118;unica;RF - Pós-fixado;58.893.662/0001-18_unica
59079948000127;;RF - Pós-fixado;59.079.948/0001-27
59116601000107;unica;RF - Pós-fixado;59.116.601/0001-07_unica
60103810000103;senior1;RF - Pós-fixado;60.103.810/0001-03_senior1
60573726000145;;RF - Pós-fixado;60.573.726/0001-45
60594084000160;;RF - Pós-fixado;60.594.084/0001-60
60759253000175;unica;RF - Pós-fixado;60.759.253/0001-75_unica
61623000000132;;RF - Pós-fixado;61.623.000/0001-32
61885788000155;unica;RF - Pós-fixado;61.885.788/0001-55_unica
63438007000100;;RF - Inflação;63.438.007/0001-00
65379212000177;;RF - Inflação;65.379.212/0001-77
